DateTime,CLOSE
2012/2/22,1139.122
2012/2/23,1137.169
2012/2/24,1149.839
2012/2/27,1150.884
2012/2/28,1133.771
2012/2/29,1118.901
2012/3/1,1125.39
2012/3/2,1146.646
2012/3/5,1143.196
2012/3/6,1129.264
2012/3/7,1122.485
2012/3/8,1138.605
2012/3/9,1153.478
2012/3/12,1164.146
2012/3/13,1178.166
2012/3/14,1125.263
2012/3/15,1105.964
2012/3/16,1131.749
2012/3/19,1147.991
2012/3/20,1122.846
2012/3/21,1130.361
2012/3/22,1121.34
2012/3/23,1094.72
2012/3/26,1091.957
2012/3/27,1090.173
2012/3/28,1040.178
2012/3/29,1017.626
2012/3/30,1013.242
2012/4/5,1043.238
2012/4/6,1045.436
2012/4/9,1026.872
2012/4/10,1036.691
2012/4/11,1034.847
2012/4/12,1055.785
2012/4/13,1064.388
2012/4/16,1059.366
2012/4/17,1049.597
2012/4/18,1076.751
2012/4/19,1076.648
2012/4/20,1082.773
2012/4/23,1059.437
2012/4/24,1049.017
2012/4/25,1059.822
2012/4/26,1058.708
2012/4/27,1051.506
2012/5/2,1072.682
2012/5/3,1072.147
2012/5/4,1086.825
2012/5/7,1097.2
2012/5/8,1097.235
2012/5/9,1071.612
2012/5/10,1075.892
2012/5/11,1064.128
2012/5/14,1060.684
2012/5/15,1055.646
2012/5/16,1039.844
2012/5/17,1053.866
2012/5/18,1036.347
2012/5/21,1036.594
2012/5/22,1049.413
2012/5/23,1038.621
2012/5/24,1040.133
2012/5/25,1032.222
2012/5/28,1043.942
2012/5/29,1065.492
2012/5/30,1074.077
2012/5/31,1075.681
2012/6/1,1067.892
2012/6/4,1032.497
2012/6/5,1029.487
2012/6/6,1028.52
2012/6/7,1024.142
2012/6/8,1020.95
2012/6/11,1040.699
2012/6/12,1030.008
2012/6/13,1046.45
2012/6/14,1041.766
2012/6/15,1043.568
2012/6/18,1051.965
2012/6/19,1037.306
2012/6/20,1035.789
2012/6/21,1020.518
2012/6/25,987.341
2012/6/26,984.709
2012/6/27,979.317
2012/6/28,956.669
2012/6/29,970.761
2012/7/2,979.01
2012/7/3,972.42
2012/7/4,968.381
2012/7/5,943.496
2012/7/6,955.895
2012/7/9,929.497
2012/7/10,928.339
2012/7/11,936.187
2012/7/12,947.636
2012/7/13,938.76
2012/7/16,900.115
2012/7/17,902.136
2012/7/18,912.501
2012/7/19,918.591
2012/7/20,912.845
2012/7/23,901.089
2012/7/24,906.063
2012/7/25,898.607
2012/7/26,889.935
2012/7/27,888.236
2012/7/30,877.498
2012/7/31,856.098
2012/8/1,874.223
2012/8/2,867.073
2012/8/3,888.135
2012/8/6,914.143
2012/8/7,920.074
2012/8/8,922.074
2012/8/9,931.189
2012/8/10,928.504
2012/8/13,907.617
2012/8/14,910.995
2012/8/15,899.175
2012/8/16,898.937
2012/8/17,900.81
2012/8/20,897.99
2012/8/21,910.788
2012/8/22,901.354
2012/8/23,909.591
2012/8/24,892.133
2012/8/27,861.214
2012/8/28,863.733
2012/8/29,857.07
2012/8/30,847.349
2012/8/31,849.673
2012/9/3,862.014
2012/9/4,850.435
2012/9/5,853.932
2012/9/6,867.437
2012/9/7,905.751
2012/9/10,911.238
2012/9/11,907.477
2012/9/12,913.311
2012/9/13,900.789
2012/9/14,901.92
2012/9/17,871.239
2012/9/18,866.24
2012/9/19,872.845
2012/9/20,842.16
2012/9/21,840.096
2012/9/24,844.641
2012/9/25,836.78
2012/9/26,818.834
2012/9/27,837.576
2012/9/28,857.195
2012/10/8,857.693
2012/10/9,878.712
2012/10/10,882.335
2012/10/11,869.102
2012/10/12,865.58
2012/10/15,858.673
2012/10/16,860.207
2012/10/17,863.078
2012/10/18,876.008
2012/10/19,874.745
2012/10/22,875.454
2012/10/23,870.629
2012/10/24,870.867
2012/10/25,864.916
2012/10/26,841.378
2012/10/29,838.184
2012/10/30,836.647
2012/10/31,839.349
2012/11/1,853.348
2012/11/2,854.195
2012/11/5,851.667
2012/11/6,847.33
2012/11/7,846.858
2012/11/8,819.437
2012/11/9,815.302
2012/11/12,824.181
2012/11/13,811.522
2012/11/14,813.239
2012/11/15,795.269
2012/11/16,789.279
2012/11/19,793.914
2012/11/20,791.916
2012/11/21,798.622
2012/11/22,789.319
2012/11/23,789.943
2012/11/26,780.924
2012/11/27,754.189
2012/11/28,738.966
2012/11/29,729.782
2012/11/30,737.8
2012/12/3,716.859
2012/12/4,724.188
2012/12/5,752.523
2012/12/6,749.391
2012/12/7,767.779
2012/12/10,784.422
2012/12/11,779.663
2012/12/12,782.067
2012/12/13,770.56
2012/12/14,804.364
2012/12/17,808.504
2012/12/18,810.062
2012/12/19,816.537
2012/12/20,822.613
2012/12/21,817.434
2012/12/24,818.442
2012/12/25,835.852
2012/12/26,848.025
2012/12/27,839.754
2012/12/28,845.709
2012/12/31,857.651
2013/1/4,858.267
2013/1/7,864.775
2013/1/8,877.69
2013/1/9,882.922
2013/1/10,896.265
2013/1/11,873.376
2013/1/14,902.4
2013/1/15,928.595
2013/1/16,927.672
2013/1/17,910.976
2013/1/18,924.378
2013/1/21,927.809
2013/1/22,908.835
2013/1/23,911.266
2013/1/24,890.179
2013/1/25,890.118
2013/1/28,909.209
2013/1/29,914.46
2013/1/30,916.843
2013/1/31,916.379
2013/2/1,917.351
2013/2/4,913.722
2013/2/5,919.117
2013/2/6,925.315
2013/2/7,927.745
2013/2/8,940.982
2013/2/18,949.477
2013/2/19,934.854
2013/2/20,948.734
2013/2/21,924.298
2013/2/22,919.78
2013/2/25,929.299
2013/2/26,910.953
2013/2/27,912.228
2013/2/28,935.244
2013/3/1,946.39
2013/3/4,919.929
2013/3/5,938.887
2013/3/6,952.677
2013/3/7,942.968
2013/3/8,935.413
2013/3/11,934.445
2013/3/12,913.576
2013/3/13,904.089
2013/3/14,906.501
2013/3/15,908.381
2013/3/18,882.149
2013/3/19,882.737
2013/3/20,907.356
2013/3/21,914.156
2013/3/22,915.806
2013/3/25,915.901
2013/3/26,905.27
2013/3/27,908.776
2013/3/28,880.265
2013/3/29,877.819
2013/4/1,881.277
2013/4/2,870.247
2013/4/3,864.6
2013/4/8,864.769
2013/4/9,878.137
2013/4/10,880.262
2013/4/11,876.209
2013/4/12,868.491
2013/4/15,851.157
2013/4/16,859.142
2013/4/17,867.381
2013/4/18,868.567
2013/4/19,887.435
2013/4/22,897.949
2013/4/23,874.081
2013/4/24,894.839
2013/4/25,882.897
2013/4/26,872.879
2013/5/2,877.9
2013/5/3,904.499
2013/5/6,929.378
2013/5/7,930.585
2013/5/8,941.463
2013/5/9,955.648
2013/5/10,968.865
2013/5/13,970.094
2013/5/14,969.439
2013/5/15,985.809
2013/5/16,998.173
2013/5/17,1012.622
2013/5/20,1034.61
2013/5/21,1048.584
2013/5/22,1049.03
2013/5/23,1038.959
2013/5/24,1060.721
2013/5/27,1076.96
2013/5/28,1068.553
2013/5/29,1083.309
2013/5/30,1077.681
2013/5/31,1063.386
2013/6/3,1048.142
2013/6/4,1032.609
2013/6/5,1041.869
2013/6/6,1025.236
2013/6/7,1006.406
2013/6/13,978.127
2013/6/14,1004.457
2013/6/17,1019.68
2013/6/18,1020.729
2013/6/19,1022.605
2013/6/20,971.488
2013/6/21,967.369
2013/6/24,900.844
2013/6/25,902.491
2013/6/26,928.858
2013/6/27,902.498
2013/6/28,900.127
2013/7/1,926.195
2013/7/2,946.236
2013/7/3,950.766
2013/7/4,966.383
2013/7/5,951.959
2013/7/8,907.906
2013/7/9,904.504
2013/7/10,939.1
2013/7/11,963.954
2013/7/12,957.536
2013/7/15,980.658
2013/7/16,999.346
2013/7/17,964.308
2013/7/18,965.719
2013/7/19,943.822
2013/7/22,957.082
2013/7/23,985.417
2013/7/24,985.205
2013/7/25,968.131
2013/7/26,959.41
2013/7/29,944.59
2013/7/30,937.278
2013/7/31,941.339
2013/8/1,974.538
2013/8/2,976.307
2013/8/5,987.797
2013/8/6,996.632
2013/8/7,988.678
2013/8/8,984.689
2013/8/9,986.319
2013/8/12,1013.625
2013/8/13,1023.696
2013/8/14,1014.272
2013/8/15,1001.62
2013/8/16,978.7
2013/8/19,998.903
2013/8/20,991.319
2013/8/21,999.029
2013/8/22,1010.129
2013/8/23,1009.623
2013/8/26,1023.964
2013/8/27,1027.747
2013/8/28,1014.893
2013/8/29,1006.497
2013/8/30,995.77
2013/9/2,1009.082
2013/9/3,1033.437
2013/9/4,1036.781
2013/9/5,1033.642
2013/9/6,1044.519
2013/9/9,1051.57
2013/9/10,1065.292
2013/9/11,1063.022
2013/9/12,1058.557
2013/9/13,1060.531
2013/9/16,1060.492
2013/9/17,1045.173
2013/9/18,1050.202
2013/9/23,1080.558
2013/9/24,1078.173
2013/9/25,1068.049
2013/9/26,1051.395
2013/9/27,1058.938
2013/9/30,1071.396
2013/10/8,1097.771
2013/10/9,1109.849
2013/10/10,1110.418
2013/10/11,1124.517
2013/10/14,1134.088
2013/10/15,1128.632
2013/10/16,1099.659
2013/10/17,1112.126
2013/10/18,1115.733
2013/10/21,1153.063
2013/10/22,1147.42
2013/10/23,1114.114
2013/10/24,1110.38
2013/10/25,1094.036
2013/10/28,1094.201
2013/10/29,1061.13
2013/10/30,1073.957
2013/10/31,1046.308
2013/11/1,1045.7
2013/11/4,1057.125
2013/11/5,1069.092
2013/11/6,1059.798
2013/11/7,1040.365
2013/11/8,1018.947
2013/11/11,1030.497
2013/11/12,1039.031
2013/11/13,1012.487
2013/11/14,1027.745
2013/11/15,1047.083
2013/11/18,1071.363
2013/11/19,1072.366
2013/11/20,1081.503
2013/11/21,1075.712
2013/11/22,1070.306
2013/11/25,1062.999
2013/11/26,1060.005
2013/11/27,1077.859
2013/11/28,1089.691
2013/11/29,1092.945
2013/12/2,1044.791
2013/12/3,1070.497
2013/12/4,1088.677
2013/12/5,1091.146
2013/12/6,1086.802
2013/12/9,1086.661
2013/12/10,1083.763
2013/12/11,1067.125
2013/12/12,1072.911
2013/12/13,1074.113
2013/12/16,1063.202
2013/12/17,1055.959
2013/12/18,1055.097
2013/12/19,1045.315
2013/12/20,1025.113
2013/12/23,1020.299
2013/12/24,1023.187
2013/12/25,1038.13
2013/12/26,1021.949
2013/12/27,1041.157
2013/12/30,1050.071
2013/12/31,1057.661
2014/1/2,1060.921
2014/1/3,1059.827
2014/1/6,1034.449
2014/1/7,1050.432
2014/1/8,1054.704
2014/1/9,1039.356
2014/1/10,1021.12
2014/1/13,1012.022
2014/1/14,1027.879
2014/1/15,1042.526
2014/1/16,1043.421
2014/1/17,1030.556
2014/1/20,1019.516
2014/1/21,1033.581
2014/1/22,1060.024
2014/1/23,1071.82
2014/1/24,1088.246
2014/1/27,1082.552
2014/1/28,1084.987
2014/1/29,1089.819
2014/1/30,1079.436
2014/2/7,1100.75
2014/2/10,1162.862
2014/2/11,1164.249
2014/2/12,1175.6
2014/2/13,1166.033
2014/2/14,1179.511
2014/2/17,1211.871
2014/2/18,1217.1
2014/2/19,1212.638
2014/2/20,1188.931
2014/2/21,1186.396
2014/2/24,1191.514
2014/2/25,1139.263
2014/2/26,1164.559
2014/2/27,1163.048
2014/2/28,1199.418
2014/3/3,1222.445
2014/3/4,1224.168
2014/3/5,1211.974
2014/3/6,1198.646
2014/3/7,1201.998
2014/3/10,1153.669
2014/3/11,1140.129
2014/3/12,1136.902
2014/3/13,1152.571
2014/3/14,1144.526
2014/3/17,1173.08
2014/3/18,1178.462
2014/3/19,1172.887
2014/3/20,1126.941
2014/3/21,1151.491
2014/3/24,1155.399
2014/3/25,1156.164
2014/3/26,1165.534
2014/3/27,1140.185
2014/3/28,1110.622
2014/3/31,1099.147
2014/4/1,1120.608
2014/4/2,1116.185
2014/4/3,1117.394
2014/4/4,1128.788
2014/4/8,1142.44
2014/4/9,1152.578
2014/4/10,1163.9
2014/4/11,1152.549
2014/4/14,1165.729
2014/4/15,1153.889
2014/4/16,1151.139
2014/4/17,1149.906
2014/4/18,1153.151
2014/4/21,1143.186
2014/4/22,1127.105
2014/4/23,1114.224
2014/4/24,1103.336
2014/4/25,1081.231
2014/4/28,1053.506
2014/4/29,1070.818
2014/4/30,1072.692
2014/5/5,1072.562
2014/5/6,1078.072
2014/5/7,1051.853
2014/5/8,1046.712
2014/5/9,1038.389
2014/5/12,1068.214
2014/5/13,1061.888
2014/5/14,1062.636
2014/5/15,1038.133
2014/5/16,1040.888
2014/5/19,1036.967
2014/5/20,1037.776
2014/5/21,1048.24
2014/5/22,1051.554
2014/5/23,1061.304
2014/5/26,1083.972
2014/5/27,1081.688
2014/5/28,1096.494
2014/5/29,1084.456
2014/5/30,1087.052
2014/6/3,1082.331
2014/6/4,1070.233
2014/6/5,1081.813
2014/6/6,1079.572
2014/6/9,1076.118
2014/6/10,1088.388
2014/6/11,1098.694
2014/6/12,1094.061
2014/6/13,1116.948
2014/6/16,1127.079
2014/6/17,1116.852
2014/6/18,1114.416
2014/6/19,1084.323
2014/6/20,1096.921
2014/6/23,1109.249
2014/6/24,1118.469
2014/6/25,1111.4
2014/6/26,1125.856
2014/6/27,1138.315
2014/6/30,1145.802
2014/7/1,1159.819
2014/7/2,1165.269
2014/7/3,1179.702
2014/7/4,1171.598
2014/7/7,1176.214
2014/7/8,1189.817
2014/7/9,1171.388
2014/7/10,1174.736
2014/7/11,1185.795
2014/7/14,1212.373
2014/7/15,1207.726
2014/7/16,1189.09
2014/7/17,1181.278
2014/7/18,1180.947
2014/7/21,1182.496
2014/7/22,1213.012
2014/7/23,1202.475
2014/7/24,1198.545
2014/7/25,1207.21
2014/7/28,1233.532
2014/7/29,1251.826
2014/7/30,1248.464
2014/7/31,1258.005
2014/8/1,1237.705
2014/8/4,1254.836
2014/8/5,1256.111
2014/8/6,1270.12
2014/8/7,1261.94
2014/8/8,1263.744
2014/8/11,1281.395
2014/8/12,1284.493
2014/8/13,1276.237
2014/8/14,1266.706
2014/8/15,1279.103
2014/8/18,1298.682
2014/8/19,1309.074
2014/8/20,1315.406
2014/8/21,1309.991
2014/8/22,1316.276
2014/8/25,1309.467
2014/8/26,1292.863
2014/8/27,1293.305
2014/8/28,1289.049
2014/8/29,1305.064
2014/9/1,1322.975
2014/9/2,1339.898
2014/9/3,1360.564
2014/9/4,1365.367
2014/9/5,1383.799
2014/9/9,1396.827
2014/9/10,1393.205
2014/9/11,1390.862
2014/9/12,1404.171
2014/9/15,1408.024
2014/9/16,1353.864
2014/9/17,1354.476
2014/9/18,1356.395
2014/9/19,1367.711
2014/9/22,1345.12
2014/9/23,1364.262
2014/9/24,1387.447
2014/9/25,1397.914
2014/9/26,1402.735
2014/9/29,1411.077
2014/9/30,1414.001
2014/10/8,1430.454
2014/10/9,1441.976
2014/10/10,1423.68
2014/10/13,1421.967
2014/10/14,1417.148
2014/10/15,1415.845
2014/10/16,1387.752
2014/10/17,1377.968
2014/10/20,1394.047
2014/10/21,1380.077
2014/10/22,1362.366
2014/10/23,1345.665
2014/10/24,1345.642
2014/10/27,1356.865
2014/10/28,1394.766
2014/10/29,1414.541
2014/10/30,1403.446
2014/10/31,1398.572
2014/11/3,1404.662
2014/11/4,1404.926
2014/11/5,1404.098
2014/11/6,1424.02
2014/11/7,1408.242
2014/11/10,1426.806
2014/11/11,1391.281
2014/11/12,1401.622
2014/11/13,1373.773
2014/11/14,1373.349
2014/11/17,1388.24
2014/11/18,1391.231
2014/11/19,1388.972
2014/11/20,1388.108
2014/11/21,1397.621
2014/11/24,1415.436
2014/11/25,1435.484
2014/11/26,1437.788
2014/11/27,1447.096
2014/11/28,1433.334
2014/12/1,1418.791
2014/12/2,1439.485
2014/12/3,1464.651
2014/12/4,1484.226
2014/12/5,1451.07
2014/12/8,1470.442
2014/12/9,1415.989
2014/12/10,1477.774
2014/12/11,1487.143
2014/12/12,1509.73
2014/12/15,1524.826
2014/12/16,1512.087
2014/12/17,1478.377
2014/12/18,1485.277
2014/12/19,1469.899
2014/12/22,1419.212
2014/12/23,1379.42
2014/12/24,1396.577
2014/12/25,1424.056
2014/12/26,1429.372
2014/12/29,1415.727
2014/12/30,1389.344
2014/12/31,1412.377
2015/1/5,1439.242
2015/1/6,1467.231
2015/1/7,1479.284
2015/1/8,1481.805
2015/1/9,1457.561
2015/1/12,1438.345
2015/1/13,1465.649
2015/1/14,1463.85
2015/1/15,1473.615
2015/1/16,1500.712
2015/1/19,1443.967
2015/1/20,1487.894
2015/1/21,1526.735
2015/1/22,1542.45
2015/1/23,1541.289
2015/1/26,1574.882
2015/1/27,1585.791
2015/1/28,1575.306
2015/1/29,1572.936
2015/1/30,1540.075
2015/2/2,1520.617
2015/2/3,1543.243
2015/2/4,1538.157
2015/2/5,1523.269
2015/2/6,1495.539
2015/2/9,1473.539
2015/2/10,1495.7866
2015/2/11,1507.4561
2015/2/12,1519.9801
2015/2/13,1548.9821
2015/2/16,1592.0282
2015/2/17,1603.244
2015/2/25,1599.3985
2015/2/26,1614.4138
2015/2/27,1629.6005
2015/3/2,1670.5861
2015/3/3,1666.4411
2015/3/4,1682.3092
2015/3/5,1684.1181
2015/3/6,1656.5977
2015/3/9,1665.1938
2015/3/10,1684.5637
2015/3/11,1687.8106
2015/3/12,1682.0505
2015/3/13,1689.3946
2015/3/16,1733.4388
2015/3/17,1758.6375
2015/3/18,1792.8779
2015/3/19,1808.4958
2015/3/20,1819.8413
2015/3/23,1857.234
2015/3/24,1862.885
2015/3/25,1882.5211
2015/3/26,1874.5665
2015/3/27,1901.5574
2015/3/30,1935.4555
2015/3/31,1933.3217
2015/4/1,2014.8006
2015/4/2,2058.0581
2015/4/3,2082.1143
2015/4/7,2101.3864
2015/4/8,2085.2614
2015/4/9,2047.8049
2015/4/10,2092.8843
2015/4/13,2133.4907
2015/4/14,2145.3336
2015/4/15,2071.4452
2015/4/16,2130.5568
2015/4/17,2160.3703
2015/4/20,2150.096
2015/4/21,2210.9896
2015/4/22,2280.4088
2015/4/23,2334.0979
2015/4/24,2329.2412
2015/4/27,2360.4154
2015/4/28,2276.0537
2015/4/29,2313.0897
2015/4/30,2330.4691
2015/5/4,2363.6933
2015/5/5,2266.8128
2015/5/6,2231.4261
2015/5/7,2179.008
2015/5/8,2245.1629
2015/5/11,2363.045
2015/5/12,2440.3304
2015/5/13,2437.5749
2015/5/14,2477.4867
2015/5/15,2449.6395
2015/5/18,2478.7635
2015/5/19,2542.5182
2015/5/20,2586.1961
2015/5/21,2674.9479
2015/5/22,2717.3993
2015/5/25,2813.4335
2015/5/26,2917.4959
2015/5/27,2958.0927
2015/5/28,2765.205
2015/5/29,2797.6323
2015/6/1,2936.7591
2015/6/2,3014.4888
2015/6/3,3005.2803
2015/6/4,3027.7087
2015/6/5,3072.1039
2015/6/8,3018.7945
2015/6/9,3063.6202
2015/6/10,3051.8286
2015/6/11,3069.3569
2015/6/12,3097.9366
2015/6/15,3056.4402
2015/6/16,2930.6689
2015/6/17,2956.9778
2015/6/18,2826.5674
2015/6/19,2598.9232
2015/6/23,2616.9198
2015/6/24,2673.2369
2015/6/25,2541.0748
2015/6/26,2308.4632
2015/6/29,2132.3925
2015/6/30,2267.7553
2015/7/1,2150.3508
2015/7/2,1998.2002
2015/7/3,1875.5435
2015/7/6,1864.3372
2015/7/7,1749.7299
2015/7/8,1669.5715
2015/7/9,1744.5658
2015/7/10,1833.013
2015/7/13,1941.317
2015/7/14,1986.72
2015/7/15,1870.558
2015/7/16,1919.002
2015/7/17,2020.703
2015/7/20,2062.9
2015/7/21,2091.865
2015/7/22,2117.136
2015/7/23,2179.694
2015/7/24,2151.035
2015/7/27,1982.121
2015/7/28,1912.243
2015/7/29,2029.744
2015/7/30,1977.636
2015/7/31,1964.805
2015/8/3,1894.997
2015/8/4,2015.805
2015/8/5,2001.612
2015/8/6,2053.191
2015/8/7,2119.333
2015/8/10,2222.706
2015/8/11,2222.053
2015/8/12,2173.376
2015/8/13,2237.596
2015/8/14,2230.076
2015/8/17,2263.761
2015/8/18,2079.262
2015/8/19,2125.667
2015/8/20,2033.799
2015/8/21,1925.32
2015/8/24,1758.247
